source target weight
arrow fleur-de-lis 1
arrow "hot beverage" 1
arrow "thumbs up medium skin tone" 1
"1st place medal" "2nd place medal" 2
"1st place medal" crown 1
"1st place medal" eyes 1
"1st place medal" "hundred points" 1
"1st place medal" "red heart" 1
"1st place medal" trophy 3
"2nd place medal" "3rd place medal" 2
"2nd place medal" "glowing star" 1
"3rd place medal" "party popper" 1
"3rd place medal" "white medium star" 1
"a button" "blood type" 2
abacus "red paper lantern" 1
"admission tickets" ribbon 2
"admission tickets" "video game" 1
"admission tickets" "woman dancing medium skin tone" 1
"adult medium-light skin tone" "u200d:artist palette" 1
"adult medium-light skin tone" u200d:cooking 1
"adult medium skin tone" "u200d:artist palette" 1
airplane "artist palette" 1
airplane "closed book" 1
airplane "deciduous tree" 1
airplane eagle 2
airplane "framed picture" 2
airplane "movie camera" 1
airplane "neutral face" 1
airplane "regional indicator symbol letter c" 1
airplane seedling 1
airplane "sparkling heart" 1
airplane "woman rowing boat" 2
airplane "woman student light skin tone" 1
"airplane departure" cloud 1
"airplane departure" "regional indicator symbol letter b" 1
"alarm clock" balloon 1
"alarm clock" eyes 2
"alarm clock" "loudly crying face" 1
"alarm clock" loudspeaker 1
"alarm clock" "robot face" 2
"alarm clock" unlocked 1
"alarm clock" "white heavy check mark" 1
alembic paintbrush 1
alembic sparkles 1
alembic syringe 1
alien "alien monster" 2
alien "bow and arrow" 1
alien "curly loop" 1
alien "dashing away" 1
alien dizzy 1
alien "dog face" 1
alien "dragon face" 1
alien eye 2
alien fire 2
alien "four leaf clover" 1
alien "framed picture" 1
alien "globe showing europe-africa" 1
alien "open book" 1
alien "red heart" 1
alien "robot face" 1
alien rocket 1
alien skull 2
alien "small blue diamond" 1
alien sparkles 2
alien telescope 1
alien "thumbs up" 1
alien "victory hand light skin tone" 1
alien "vulcan salute" 1
alien "vulcan salute medium-dark skin tone" 1
alien "vulcan salute medium skin tone" 1
alien "wilted flower" 1
alien "zany face" 1
"alien monster" "backhand index pointing right" 1
"alien monster" crown 1
"alien monster" "flower playing cards" 1
"alien monster" "flying saucer" 1
"alien monster" "recycling symbol" 1
"alien monster" sparkles 1
"alien monster" "waning crescent moon" 1
ambulance "regional indicator symbol letter c" 1
"american football" "artist palette" 1
"american football" "double exclamation mark" 1
"american football" fire 1
"american football" "folded hands medium-light skin tone" 2
"american football" "glowing star" 3
"american football" "goal net" 1
"american football" "heavy check mark" 1
"american football" "mobile phone with arrow" 1
"american football" "rabbit face" 1
"american football" "raising hands" 1
"american football" "regional indicator symbol letter u" 2
amphora microscope 1
anchor "face blowing a kiss" 1
anchor "ok hand" 1
anchor "red heart" 2
anchor shield 1
anchor strawberry 1
anchor "sweat droplets" 1
anchor "water wave" 1
"angry face" "grinning squinting face" 1
"angry face" "pouting face" 1
"angry face" "purple heart" 1
"angry face" "slightly frowning face" 1
"angry face" "smiling face with smiling eyes" 1
"angry face with horns" "folded hands" 1
"angry face with horns" "heart with arrow" 1
"angry face with horns" "regional indicator symbol letter g" 1
"angry face with horns" "smiling face with horns" 2
ant bug 1
ant "red heart" 1
"antenna bars" "musical notes" 1
"anxious face with sweat" "clapping hands" 1
"anxious face with sweat" "clapping hands medium-dark skin tone" 1
"anxious face with sweat" "folded hands" 2
"anxious face with sweat" "heart with ribbon" 1
"anxious face with sweat" "hot face" 1
"anxious face with sweat" "purple heart" 1
"anxious face with sweat" "smiling face with heart-eyes" 1
"anxious face with sweat" "sweat droplets" 1
"anxious face with sweat" "two hearts" 1
aquarius cancer 2
aquarius pisces 1
aries taurus 1
"artist palette" "backhand index pointing right" 4
"artist palette" balloon 2
"artist palette" bank 1
"artist palette" "beaming face with smiling eyes" 3
"artist palette" "birthday cake" 1
"artist palette" "blue circle" 1
"artist palette" "blue heart" 4
"artist palette" books 2
"artist palette" brick 1
"artist palette" butterfly 1
"artist palette" camera 1
"artist palette" "camera with flash" 7
"artist palette" "cat face" 1
"artist palette" "chart increasing" 1
"artist palette" "chequered flag" 1
"artist palette" "cherry blossom" 2
"artist palette" "christmas tree" 4
"artist palette" "circus tent" 1
"artist palette" "cityscape at dusk" 1
"artist palette" "clapper board" 1
"artist palette" "clapping hands light skin tone" 2
"artist palette" "clapping hands medium-light skin tone" 1
"artist palette" "classical building" 1
"artist palette" "clinking glasses" 2
"artist palette" collision 1
"artist palette" copyright 1
"artist palette" "counterclockwise arrows button" 1
"artist palette" crayon 5
"artist palette" "crescent moon" 1
"artist palette" "crossed swords" 1
"artist palette" crown 2
"artist palette" "dashing away" 7
"artist palette" "delivery truck" 2
"artist palette" "department store" 1
"artist palette" dizzy 4
"artist palette" "dizzy face" 2
"artist palette" "dog face" 2
"artist palette" "double exclamation mark" 2
"artist palette" dove 1
"artist palette" "down arrow" 5
"artist palette" "dragon face" 1
"artist palette" egg 1
"artist palette" elephant 1
"artist palette" "face with monocle" 1
"artist palette" "face with tears of joy" 2
"artist palette" "fallen leaf" 1
"artist palette" fire 11
"artist palette" fireworks 3
"artist palette" "flexed biceps" 2
"artist palette" "folded hands" 2
"artist palette" "folded hands light skin tone" 1
"artist palette" "four leaf clover" 1
"artist palette" "framed picture" 28
"artist palette" giraffe 1
"artist palette" "globe showing americas" 1
"artist palette" "globe showing asia-australia" 2
"artist palette" "globe showing europe-africa" 1
"artist palette" "glowing star" 2
"artist palette" gorilla 1
"artist palette" "graduation cap" 1
"artist palette" grapes 1
"artist palette" "green book" 1
"artist palette" "green heart" 2
"artist palette" "grinning face" 5
"artist palette" "grinning face with smiling eyes" 1
"artist palette" "growing heart" 12
"artist palette" "heart suit" 2
"artist palette" "heart with arrow" 1
"artist palette" "heavy check mark" 2
"artist palette" herb 6
"artist palette" hibiscus 1
"artist palette" "high voltage" 1
"artist palette" horse 1
"artist palette" "hot beverage" 5
"artist palette" "hot face" 1
